Rank,Wallet,Points,Wins,Games_Played,Win_Rate_Pct,Checkin_Streak
72,0x185723f0498e98e463a57b318455baa261638251,1070,0,0,0.0,1
73,0x023e2bc6a2ddd8d502dfdf338af85f12ee36c7e7,1065,0,0,0.0,1
74,0xee6882de3ec6d0923430f6b86db12a63695fc215,1060,0,0,0.0,1
75,0x4b44d0b20668afb2377f0cbf3c4dc914162cfc23,1060,0,0,0.0,1
76,0x0d923910e537ea1ee6770d626464ad03f748adb4,1055,0,0,0.0,1
77,0x24a705d656ceb871054a2a88bd513e5086143091,1055,0,0,0.0,1
78,0x40f3ffbbc1cccd0294068b6b77a7ec168b5c010c,1055,0,0,0.0,1
79,0x98d3f4efb900657da6fc1988854b992b19688996,1050,0,0,0.0,1
80,0x423ce4e98cd1a76de32cb7d2868fce0bc296dd5e,1050,0,0,0.0,1
81,0x7b67a29d1e9fd5105bd75968d4df22b6c543a444,1024,0,1,0.0,1
82,0x11c114acf3a6e645561e43df1f0925de9c9fc633,1020,0,0,0.0,1
83,0x096a90f1d1c694c7f603f745fb078bc67fc3662c,1015,0,1,0.0,1
84,0x7895cb90e006f7ffe65330d160b6db6965d6f05e,1012,0,1,0.0,0
85,0xc54a1370607d067503d0c3374d81870a16fce7a9,1011,0,1,0.0,1
86,0x6dd74ed23a28ddf4be30fff8df4db4a30d886fe0,1009,0,1,0.0,0
87,0x0afc6499deac10ef95036a095fab944f2bd002ff,1008,0,1,0.0,0
88,0xe4dd429e454144b63e07508daba51bf7a268eaf2,1005,0,0,0.0,1
89,0x10a54545cb38be87c89eb3b614ffe63771810fe3,1005,0,0,0.0,1
90,0x252ac4f0eead9412782fe0ac089213464dfe0e26,1005,0,0,0.0,1
91,0x5cb26dba85549163f851e19d24413273fb4493ac,1005,0,0,0.0,1
92,0x5e6ebe851629d9d9b6332c38281a57b0b3114441,1005,0,0,0.0,1
93,0x9ade15e8c86251a429118bee28cef5024040643a,732,12,21,57.1,1
94,0x60a46fac75bdf78f5d7b2ce158729b6d6943cfd5,698,6,9,66.7,1
95,0x9c88fb6de0a4dd1a5f4fcbc8d0ee33924ec54bd9,669,2,3,66.7,1
96,0x0d21e0982cd4ada9ddb6d189f0b9da2332702a42,555,0,0,0.0,1
97,0x3a048134dc59579d8c7e724d1c1aa43f75511336,555,0,0,0.0,1
98,0x5bfe40e43dc0048e1c9ff86b653fff0944ad8e4f,550,0,0,0.0,1
99,0xd275fd59759571dafa78256262cfc9e63eb49546,550,0,0,0.0,1
100,0xef84eb42b573c383a36ed3ccab16a3cc43f96acb,550,0,0,0.0,1
101,0x1bf512ddaaaabaeee6d902162cab6e785c3a1780,550,0,0,0.0,1
102,0x4638e26e507d307de009b1e406ec53c5bae92770,550,0,0,0.0,1
103,0x457fab6eef3212506897d94c343f77e2004f27f4,550,0,0,0.0,1
104,0xea70a647e7bf4427020774fc5bb1aa00051a618d,550,0,0,0.0,1
105,0xd238dbb3700fe0d89f467eb297f8da7f433c5297,550,0,0,0.0,1
106,0x2be31d890dfb34b713586a806941eaca6f5539ab,544,0,1,0.0,1
107,0x31e9da69eaf38ed21143db1548b07609f6d825c0,500,0,0,0.0,1
108,0x8e6782f80dc4a76b36afccd6401010533e397c28,500,0,0,0.0,1
109,0x45b28ddada14f0b812ba6348926e4ee41078e48b,500,0,0,0.0,1
110,0xf577c76ac482256673a75c0b9d443bc0210d188a,500,0,0,0.0,1
111,0x4deb9ea22dc2f40c1d381fd263d410ad68897b2d,500,0,0,0.0,1
112,0x8df99369cc170f217df5192e6e5aed357cf2de42,500,0,0,0.0,1
113,0x15252a77cb0c7902f92a65e92ee00beff47dc281,500,0,0,0.0,1
114,0x8eb79196a82d2f23027c3ebd33e5815de37050f3,500,0,0,0.0,1
115,0xf4b1cc6500736ea14a378badfe396d0f240ba1ea,500,0,0,0.0,1
116,0x78f7c9477829a73bd744e2872ad3d1b30bd097c1,210,1,2,50.0,1
117,0xa725c4600d97365e1d6d80ad65e17885f43de282,160,3,3,100.0,1
118,0xeb45918a1efc99c84fa337e36a2f84317a9de1b8,140,1,1,100.0,1
119,0x286e0ca748d24d5785c8ca61b5413ec66b532af9,120,1,3,33.3,3
120,0xeb8fef686fd82c14c1ae85122b2fcf53ebc021bf,99,1,2,50.0,1
121,0x4d4e529a918f96e57f3703fa5534e3b1e15dac95,95,1,2,50.0,1
122,0xc3db1cfd7fa52eabb988328dd79de77ae56b0889,90,1,1,100.0,1
123,0xcb8da191602a4025366ca9fbf532d8a3900ac4da,85,1,1,100.0,2
124,0xb8c00ee905015e1fda543672d02e9d2300494a44,75,1,1,100.0,1
125,0x7b0fd72a9d9e875a2181ee45c1c69dcb57350b22,75,1,1,100.0,1
126,0x0ec23c798c1ab60d189ac4ded17cc1c1f4753101,75,1,1,100.0,1
127,0x60a74214f118870522c350b8ae2cb129fe452409,70,1,1,100.0,0
128,0xd378b1f80f9c6720dbf8d4606d6a7a738b5fe1c3,70,1,1,100.0,0
129,0xac03139a0196e29aa4fc4707fd3d38c0399f3f23,70,1,1,100.0,0
130,0x527d396171138366c24223f25b40db069125b0a0,70,1,1,100.0,0
131,0x45520f275178d09ecfe232222997098e2ac02384,35,0,0,0.0,1
132,0xff35320bb62e21eff9177fc5665f2b3af957989c,30,0,0,0.0,1
133,0xc1f112812562a2e7bebd01d5beb8ca1659529a15,30,0,0,0.0,1
134,0xbc57eb3b787aa22fd1fb9d8ba8314e6c66863439,25,0,1,0.0,1
135,0x855e3bdb736411d16032f964f77015282c182833,25,0,0,0.0,1
136,0x22595a4d2c9ddf00e6a0240c81775bea5d718a1e,25,0,0,0.0,1
137,0x9807727cb6f40865890c646a23b7dae4ab7a062b,25,0,0,0.0,1
138,0x4de012438f9ed32d2ec4ad40a15a5ada50e640cf,24,0,1,0.0,1
139,0x8623baabf355178d695521324fb2c5e684e71fb0,24,0,1,0.0,1
140,0x30fb52adf1c19791d01e4752b5eb76868a837b39,22,0,1,0.0,1
141,0x6434f86ddc9b3557dc211815c60b8c101edcebae,22,0,1,0.0,1
142,0xf5b211c6e73ef841d2bfae2dcc5fca68f14970b5,22,0,1,0.0,1
143,0x77feb7359ae0fb5c191b5662763e10e803879434,20,0,0,0.0,1
144,0x41759751ad0081324f553d03accc661ce047d4ad,20,0,0,0.0,1
145,0x68cf462083c73dbb86b8a7606436ca928b4d57fe,20,0,1,0.0,1
146,0x6d71b2d5324afac4acc47650c5748d420983d8f5,20,0,0,0.0,1
147,0x99ea7c168a3d6c8483c9daa2e704225a923ab24f,20,0,0,0.0,1
148,0xfb91893cc86d98e484dbdfbcfdd4b6f7a3abbce7,19,0,1,0.0,1
149,0xe19eda29facf7205dbc27491467a3fabde7396f6,17,0,1,0.0,0
150,0x08d4a3c775546ebebc030977b6e52403d9bf7ced,16,0,1,0.0,1
151,0x1b1f7a116644d62976c826c7cf91db7130540d24,16,0,1,0.0,1
152,0x6fe0908c921728193641cdd1891a895119ce022b,15,0,0,0.0,1
153,0x3169f6c8465082b62c1b52bb79ffdcd2d0422973,15,0,0,0.0,1
154,0x57fedfb252a2119284e670107d8147435b2b93af,15,0,0,0.0,1
155,0x1ab8a7f71e00af41f3ec82a57aef0dead0659319,15,0,0,0.0,1
156,0x7510099c955b138e08268d8505606a386284fabc,15,0,0,0.0,1
157,0xbe84367d7dfa00e5191310982ba2036bf9e95684,15,0,0,0.0,1
158,0xaddf0b1b1a78b2671a760aec7c9aad538b27b01d,15,0,0,0.0,1
159,0x428918fa22db0f356f977136bb0e06c6f7db7559,15,0,0,0.0,2
160,0x1f3074d5d60a1a4a650d7a05f958564a0278bfe0,15,0,0,0.0,1
161,0x73f4e7d9b452a607698d0927552687c2164192be,15,0,0,0.0,1
162,0xcea61c97591d791ee0f7598e096650cb5ca22e44,15,0,0,0.0,1
163,0x5cfb9a174a2e04e18c935e190d11c3542a13ce9b,15,0,0,0.0,1
164,0x1472a8f98cc0ce9b3c809776ac490da2858eaeda,15,0,0,0.0,1
165,0xd90ddebd9daaa5ccaee4122bf38e979a2fdf1691,15,0,0,0.0,1
166,0x591a8f9889637ed50567f6c827c5fc596743575e,15,0,0,0.0,1
167,0xd240d168548104625129adef768ce08f40d77f3b,13,0,1,0.0,1
168,0x1665d750b04765e3c51fe472bcf2944856e0e36e,10,0,0,0.0,1
169,0x0cd9185a95257c930fe129eff5f4fadd4ef1d392,10,0,0,0.0,1
170,0xa42278e24ce7675bc3d018fce8da9320aceb2120,10,0,0,0.0,1
171,0x244f34516d6bfa0ba35360608031e109e03803d7,10,0,0,0.0,1
